USER    ,    PID,   PPID,    ELAPSED,%CPU,COMMAND                    ,COMMAND
paucabr+,   1378,   1069, 1-18:43:12, 0.0,/usr/lib/mate-power-manager,mate-inhibit-ap
paucabr+,   1396,   1069, 1-18:43:12, 0.0,/usr/lib/mate-panel/clock-a,clock-applet
paucabr+,   1397,   1069, 1-18:43:12, 0.0,/usr/lib/mate-panel/notific,notification-ar
paucabr+,   1398,   1069, 1-18:43:12, 0.0,/usr/lib/mate-applets/mate-,mate-multiload-
postgres,   1418,    902, 1-18:43:09, 0.0,postgres: 11/main: faraday_,postgres
root    ,   1486,      1, 1-18:42:38, 0.0,dbus-launch --autolaunch 3c,dbus-launch
root    ,   1487,      1, 1-18:42:38, 0.0,/usr/bin/dbus-daemon --sysl,dbus-daemon
paucabr+,   2448,   1149, 1-18:37:35, 0.0,/usr/lib/gvfs/gvfsd-network,gvfsd-network
paucabr+,   2461,   1149, 1-18:37:34, 0.0,/usr/lib/gvfs/gvfsd-dnssd -,gvfsd-dnssd
root    ,   8567,      2,   23:52:01, 0.0,[dio/sda4]                 ,dio/sda4
root    ,  10947,      2,   18:00:25, 0.0,[kworker/u17:2-hci0]       ,kworker/u17:2-hci0
root    ,  13652,      2,   02:18:57, 0.0,[irq/48-mei_me]            ,irq/48-mei_me
paucabr+,  14155,   1168,   02:17:24, 1.0,/usr/share/codium/codium --,codium
paucabr+,  14159,  14155,   02:17:24, 0.0,/usr/share/codium/codium --,codium
paucabr+,  14184,  14155,   02:17:24, 2.2,/usr/share/codium/codium --,codium
paucabr+,  14203,  14155,   02:17:23, 6.4,/usr/share/codium/codium --,codium
paucabr+,  14254,  14203,   02:17:20, 0.3,/usr/share/codium/codium --,codium
paucabr+,  14255,  14203,   02:17:20, 0.0,/bin/bash                  ,bash
paucabr+,  14277,  14155,   02:17:20, 0.0,/usr/share/codium/codium --,codium
paucabr+,  14313,  14203,   02:17:18, 0.3,/usr/share/codium/codium /u,codium
paucabr+,  14343,   1069,   02:16:59, 0.5,/home/paucabral/Qt/Tools/Qt,qtcreator
paucabr+,  14355,  14343,   02:16:50, 0.0,/home/paucabral/Qt/Tools/Qt,clangbackend
paucabr+,  14562,   1149,   02:15:23, 0.0,/usr/lib/gvfs/gvfsd-http --,gvfsd-http
paucabr+,  14567,      1,   02:15:23, 4.0,firefox https://github.com/,firefox
paucabr+,  14652,  14567,   02:15:19, 0.5,/usr/lib/firefox/firefox -c,Web Content
paucabr+,  14698,  14567,   02:15:18, 0.5,/usr/lib/firefox/firefox -c,WebExtensions
paucabr+,  14742,  14567,   02:15:15, 0.4,/usr/lib/firefox/firefox -c,Web Content
paucabr+,  15476,  14567,   02:00:00, 0.9,/usr/lib/firefox/firefox -c,Web Content
paucabr+,  15941,  14567,   01:52:33, 0.9,/usr/lib/firefox/firefox -c,Web Content
paucabr+,  15978,  14567,   01:52:13, 0.2,/usr/lib/firefox/firefox -c,Web Content
paucabr+,  16114,  14567,   01:49:55, 0.2,/usr/lib/firefox/firefox -c,Web Content
paucabr+,  16210,  14567,   01:48:50, 0.5,/usr/lib/firefox/firefox -c,Web Content
paucabr+,  16245,  14567,   01:48:43, 1.4,/usr/lib/firefox/firefox -c,Web Content
root    ,  21510,      1,   01:04:48, 0.0,/usr/lib/gvfs/gvfsd        ,gvfsd
root    ,  21517,      1,   01:04:48, 0.0,/usr/bin/mate-screensaver -,mate-screensave
root    ,  21862,      2,   01:03:01, 0.0,[kworker/0:2-events]       ,kworker/0:2-events
paucabr+,  21983,      1,      58:29, 0.3,mate-terminal              ,mate-terminal
paucabr+,  21989,  21983,      58:29, 0.0,bash                       ,bash
paucabr+,  25360,   1182,      45:28, 0.3,geany /home/paucabral/proje,geany
paucabr+,  25375,  25360,      45:27, 0.0,/bin/bash                  ,bash
root    ,  26513,      2,      41:47, 0.0,[kworker/u16:1-phy0]       ,kworker/u16:1-phy0
root    ,  31690,      2,      31:24, 0.4,[kworker/1:0-events]       ,kworker/1:0-events
root    ,  34026,      2,      15:58, 0.0,[kworker/u16:2-phy0]       ,kworker/u16:2-phy0
root    ,  34588,      2,      13:06, 0.4,[kworker/1:1-events]       ,kworker/1:1-events
root    ,  36475,      2,      07:15, 0.0,[kworker/0:0-rcu_gp]       ,kworker/0:0-rcu_gp
root    ,  36613,  21989,      06:33, 0.0,sudo python3 main.py       ,sudo
root    ,  36614,  36613,      06:33, 2.5,python3 main.py            ,python3
paucabr+,  38245,      1,      03:04, 0.4,mate-screenshot            ,mate-screenshot
paucabr+,  38264,  38245,      03:03, 0.0,mate-screenshot            ,mate-screenshot
root    ,  38487,      2,      02:33, 0.0,[kworker/1:2-cgroup_destroy,kworker/1:2-cgroup_destroy
root    ,  38497,      2,      02:32, 0.0,[kworker/1:3-events]       ,kworker/1:3-events
root    ,  38498,      2,      02:32, 0.0,[kworker/1:4]              ,kworker/1:4
root    ,  39211,      2,      00:42, 0.0,[kworker/u16:0-phy0]       ,kworker/u16:0-phy0
root    ,  39538,  36614,      00:00, 0.0,/bin/sh -c ./scripts/proces,sh
root    ,  39539,  39538,      00:00, 0.0,/bin/bash ./scripts/process,ps.sh
root    ,  39540,  39539,      00:00, 0.0,ps -eo %U,%p,%P,%t,%C,%a,%c,ps
